iter	Passed	Remaining
0	1	194
1	3	170
2	5	182
3	6	160
4	8	152
5	9	142
6	10	140
7	11	137
8	12	131
9	13	125
10	14	120
11	15	115
12	16	111
13	17	107
14	19	108
15	20	105
16	20	102
17	21	99
18	22	96
19	23	93
20	24	91
21	25	88
22	25	86
23	26	84
24	28	84
25	28	82
26	29	80
27	30	78
28	31	76
29	32	75
30	33	73
31	34	72
32	35	71
33	36	70
34	37	68
35	38	67
36	38	66
37	40	65
38	41	65
39	42	64
40	43	62
41	44	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	54
47	49	53
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
